data_type,structure_category,tree_category,time_category,prediction_category,size,mse,mape
test,unseen,seen,medium,all,0,0.000±0.000,0.000±0.000
test,unseen,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
test,unseen,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
test,unseen,seen,big,all,0,0.000±0.000,0.000±0.000
test,unseen,seen,big,underestimated,0,0.000±0.000,0.000±0.000
test,unseen,seen,big,overestimated,0,0.000±0.000,0.000±0.000
test,unseen,unseen,all,all,381,198.700±87.658,52.014±31.312
test,unseen,unseen,all,underestimated,117,475.299±222.818,0.409±0.071
test,unseen,unseen,all,overestimated,264,83.892±61.466,78.109±53.051
test,unseen,unseen,small,all,190,18.798±12.665,112.938±87.200
test,unseen,unseen,small,underestimated,4,0.001±0.001,0.335±0.141
test,unseen,unseen,small,overestimated,186,19.177±12.936,114.669±87.634
test,unseen,unseen,medium,all,76,2.852±1.495,1.650±1.036
test,unseen,unseen,medium,underestimated,36,1.816±1.522,0.489±0.136
test,unseen,unseen,medium,overestimated,40,3.716±2.853,2.492±1.815
test,unseen,unseen,big,all,115,618.802±261.166,0.309±0.021
test,unseen,unseen,big,underestimated,77,727.331±360.941,0.359±0.048
test,unseen,unseen,big,overestimated,38,440.372±399.104,0.213±0.147
ood,all,all,all,all,10368,4667.407±19.365,53.862±8.175
ood,all,all,all,underestimated,9664,5005.742±25.801,0.891±0.009
ood,all,all,all,overestimated,704,24.073±8.272,781.068±113.532
ood,all,all,small,all,491,9.840±7.754,1118.974±172.814
ood,all,all,small,underestimated,1,0.002±0.002,0.238±0.306
ood,all,all,small,overestimated,490,9.849±7.749,1120.806±172.872
ood,all,all,medium,all,1052,6.946±0.930,1.043±0.078
ood,all,all,medium,underestimated,950,4.885±0.297,0.799±0.029
ood,all,all,medium,overestimated,102,25.891±6.693,3.337±0.681
ood,all,all,big,all,8825,5482.100±23.081,0.899±0.008
ood,all,all,big,underestimated,8713,5551.447±30.842,0.901±0.008
ood,all,all,big,overestimated,112,92.529±53.798,0.755±0.211
ood,all,seen,all,all,0,0.000±0.000,0.000±0.000
ood,all,seen,all,underestimated,0,0.000±0.000,0.000±0.000
ood,all,seen,all,overestimated,0,0.000±0.000,0.000±0.000
ood,all,seen,small,all,0,0.000±0.000,0.000±0.000
ood,all,seen,small,underestimated,0,0.000±0.000,0.000±0.000
ood,all,seen,small,overestimated,0,0.000±0.000,0.000±0.000
ood,all,seen,medium,all,0,0.000±0.000,0.000±0.000
ood,all,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
ood,all,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
ood,all,seen,big,all,0,0.000±0.000,0.000±0.000
ood,all,seen,big,underestimated,0,0.000±0.000,0.000±0.000
ood,all,seen,big,overestimated,0,0.000±0.000,0.000±0.000
ood,all,unseen,all,all,10368,4667.407±19.365,53.862±8.175
ood,all,unseen,all,underestimated,9664,5005.742±25.801,0.891±0.009
ood,all,unseen,all,overestimated,704,24.073±8.272,781.068±113.532
ood,all,unseen,small,all,491,9.840±7.754,1118.974±172.814
ood,all,unseen,small,underestimated,1,0.002±0.002,0.238±0.306
ood,all,unseen,small,overestimated,490,9.849±7.749,1120.806±172.872
ood,all,unseen,medium,all,1052,6.946±0.930,1.043±0.078
ood,all,unseen,medium,underestimated,950,4.885±0.297,0.799±0.029
ood,all,unseen,medium,overestimated,102,25.891±6.693,3.337±0.681
ood,all,unseen,big,all,8825,5482.100±23.081,0.899±0.008
ood,all,unseen,big,underestimated,8713,5551.447±30.842,0.901±0.008
ood,all,unseen,big,overestimated,112,92.529±53.798,0.755±0.211
ood,seen,all,all,all,949,328.864±3.451,20.142±6.675
ood,seen,all,all,underestimated,930,335.618±3.482,0.927±0.012
ood,seen,all,all,overestimated,19,1.670±1.796,950.590±334.611
ood,seen,all,small,all,19,1.679±1.792,959.534±332.384
ood,seen,all,small,underestimated,0,0.000±0.000,0.000±0.000
ood,seen,all,small,overestimated,19,1.679±1.792,959.534±332.384
ood,seen,all,medium,all,49,6.810±0.457,0.843±0.048
ood,seen,all,medium,underestimated,49,6.835±0.446,0.846±0.047
ood,seen,all,medium,overestimated,0,0.000±0.000,0.006±0.012
ood,seen,all,big,all,881,353.854±3.234,0.931±0.013
ood,seen,all,big,underestimated,881,353.854±3.234,0.931±0.013
ood,seen,all,big,overestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,all,all,0,0.000±0.000,0.000±0.000
ood,seen,seen,all,underestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,all,overestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,small,all,0,0.000±0.000,0.000±0.000
ood,seen,seen,small,underestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,small,overestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,medium,all,0,0.000±0.000,0.000±0.000
ood,seen,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,big,all,0,0.000±0.000,0.000±0.000
ood,seen,seen,big,underestimated,0,0.000±0.000,0.000±0.000
ood,seen,seen,big,overestimated,0,0.000±0.000,0.000±0.000
ood,seen,unseen,all,all,949,328.864±3.451,20.142±6.675
ood,seen,unseen,all,underestimated,930,335.618±3.482,0.927±0.012
ood,seen,unseen,all,overestimated,19,1.670±1.796,950.590±334.611
ood,seen,unseen,small,all,19,1.679±1.792,959.534±332.384
ood,seen,unseen,small,underestimated,0,0.000±0.000,0.000±0.000
ood,seen,unseen,small,overestimated,19,1.679±1.792,959.534±332.384
ood,seen,unseen,medium,all,49,6.810±0.457,0.843±0.048
ood,seen,unseen,medium,underestimated,49,6.835±0.446,0.846±0.047
ood,seen,unseen,medium,overestimated,0,0.000±0.000,0.006±0.012
ood,seen,unseen,big,all,881,353.854±3.234,0.931±0.013
ood,seen,unseen,big,underestimated,881,353.854±3.234,0.931±0.013
ood,seen,unseen,big,overestimated,0,0.000±0.000,0.000±0.000
ood,unseen,all,all,all,9419,5104.791±29.393,57.247±8.911
ood,unseen,all,all,underestimated,8734,5503.209±36.733,0.887±0.010
ood,unseen,all,all,overestimated,685,24.705±8.483,775.982±115.269
ood,unseen,all,small,all,472,10.168±7.995,1125.392±180.629
ood,unseen,all,small,underestimated,1,0.002±0.002,0.238±0.306
